Synonyms,Glossary,Synset in hierarchy,,,,,,,,,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes,"Note: I've moved columns I-M to L-P, because otherwise my labels override the lowest leaves of the WordNet branch'="
furniture piece_of_furniture article_of_furniture,furnishings that make a room or other area ready for occupancy,"[Synset('furniture.n.01'),",,,,,,,,,h,,,,,
baby_bed baby's_bed,a small bed for babies; enclosed by sides to prevent the baby from falling,,"[Synset('baby_bed.n.01'),",,,,,,,,l,,,,,
bassinet,a basket (usually hooded) used as a baby's bed,,,"[Synset('bassinet.n.01')],",,,,,,,l,,,,,
carrycot,box-shaped baby bed with handles (for a baby to sleep in while being carried),,,"[Synset('carrycot.n.01')],",,,,,,,l,,,,,
cradle,a baby bed with sides and rockers,,,"[Synset('cradle.n.01')],",,,,,,,l,,,,,
crib cot,baby bed with high sides made of slats,,,"[Synset('crib.n.01')]],",,,,,,,l,,,,,
bedroom_furniture,furniture intended for use in a bedroom,,"[Synset('bedroom_furniture.n.01'),",,,,,,,,h,,,,,
bed,a piece of furniture that provides a place to sleep,,,"[Synset('bed.n.01'),",,,,,,,b,,,,,
berth bunk built_in_bed,a bed on a ship or train; usually in tiers,,,,"[Synset('berth.n.03'),",,,,,,l,,,,,
lower_berth lower,the lower of two berths,,,,,"[Synset('lower_berth.n.01')],",,,,,l,,,,,
upper_berth upper,the higher of two berths,,,,,"[Synset('upper_berth.n.01')]],",,,,,l,,,,,
built-in_bed,a bed that is built in and fixed to a wall,,,,"[Synset('built-in_bed.n.01')],",,,,,,l,,,,,
bunk,a rough bed (as at a campsite),,,,"[Synset('bunk.n.03')],",,,,,,l,,,,,
bunk_bed bunk,beds built one above the other,,,,"[Synset('bunk_bed.n.01')],",,,,,,l,,,,,
cot camp_bed,a small bed that folds up for storage or transport,,,,"[Synset('cot.n.03')],",,,,,,l,,,,,
couch,a narrow bed on which a patient lies during psychiatric or psychoanalytic treatment,,,,"[Synset('couch.n.03')],",,,,,,l,,,,,
deathbed,the bed on which a person dies,,,,"[Synset('deathbed.n.02')],",,,,,,l,,,,,
double_bed,a bed wide enough to accommodate two sleepers,,,,"[Synset('double_bed.n.01')],",,,,,,l,,,,,
four-poster,a bed with posts at the four corners that can be used to support a canopy or curtains,,,,"[Synset('four-poster.n.01')],",,,,,,l,,,,,
hammock sack,a hanging bed of canvas or rope netting (usually suspended between two trees); swings easily,,,,"[Synset('hammock.n.02')],",,,,,,b,,,,,bl of a bl
