,Unnamed: 0,Synset,Name,Predicted
30,30,Synset('eidos.n.01'),eidos.n.01,b
34,34,Synset('personality.n.01'),personality.n.01,b
80,80,Synset('rare_earth.n.01'),rare_earth.n.01,b
88,88,Synset('varna.n.02'),varna.n.02,b
96,96,Synset('playing_period.n.01'),playing_period.n.01,b
107,107,Synset('volume.n.01'),volume.n.01,b
138,138,Synset('diagonal.n.04'),diagonal.n.04,b
139,139,Synset('domain.n.03'),domain.n.03,b
140,140,Synset('field.n.10'),field.n.10,b
141,141,Synset('group.n.03'),group.n.03,b
142,142,Synset('image.n.07'),image.n.07,b
144,144,Synset('interval.n.02'),interval.n.02,b
145,145,Synset('locus.n.03'),locus.n.03,b
146,146,Synset('mandelbrot_set.n.01'),mandelbrot_set.n.01,b
149,149,Synset('solution.n.04'),solution.n.04,b
150,150,Synset('subset.n.01'),subset.n.01,b
151,151,Synset('universal_set.n.01'),universal_set.n.01,b
157,157,Synset('destiny.n.02'),destiny.n.02,b
160,160,Synset('first_cause.n.01'),first_cause.n.01,b
209,209,Synset('property.n.05'),property.n.05,b
227,227,Synset('execution.n.03'),execution.n.03,b
241,241,Synset('sensitization.n.02'),sensitization.n.02,b
248,248,Synset('reservoir.n.04'),reservoir.n.04,b
249,249,Synset('subject.n.02'),subject.n.02,b
251,251,Synset('variable.n.01'),variable.n.01,b
359,359,Synset('hot_stuff.n.01'),hot_stuff.n.01,b
391,391,Synset('nature.n.01'),nature.n.01,b
402,402,Synset('particularity.n.01'),particularity.n.01,b
404,404,Synset('penetrability.n.01'),penetrability.n.01,b
405,405,Synset('piquancy.n.02'),piquancy.n.02,b
482,482,Synset('dead_letter.n.01'),dead_letter.n.01,b
484,484,Synset('degree.n.02'),degree.n.02,b
487,487,Synset('dystopia.n.01'),dystopia.n.01,b
494,494,Synset('grace.n.01'),grace.n.01,b
501,501,Synset('imminence.n.01'),imminence.n.01,b
526,526,Synset('polyvalence.n.02'),polyvalence.n.02,b
554,554,Synset('greenwich_mean_time.n.01'),greenwich_mean_time.n.01,b
560,560,Synset('character.n.03'),character.n.03,b
580,580,Synset('irresoluteness.n.01'),irresoluteness.n.01,b
604,604,Synset('acting_out.n.02'),acting_out.n.02,b
606,606,Synset('flaunt.n.01'),flaunt.n.01,b
608,608,Synset('presentation.n.03'),presentation.n.03,b
618,618,Synset('black_humor.n.01'),black_humor.n.01,b
628,628,Synset('legalese.n.01'),legalese.n.01,b
629,629,Synset('manner_of_speaking.n.01'),manner_of_speaking.n.01,b
635,635,Synset('rhetoric.n.01'),rhetoric.n.01,b
642,642,Synset('verboseness.n.01'),verboseness.n.01,b
645,645,Synset('gesture.n.03'),gesture.n.03,b
654,654,Synset('symptom.n.02'),symptom.n.02,b
655,655,Synset('trace.n.02'),trace.n.02,b
657,657,Synset('barrage.n.01'),barrage.n.01,b
659,659,Synset('indigenous_language.n.01'),indigenous_language.n.01,b
660,660,Synset('lingua_franca.n.01'),lingua_franca.n.01,b
664,664,Synset('object_language.n.02'),object_language.n.02,b
669,669,Synset('superstrate.n.02'),superstrate.n.02,b
670,670,Synset('usage.n.03'),usage.n.03,b
672,672,Synset('broadcast.n.01'),broadcast.n.01,b
674,674,Synset('dedication.n.04'),dedication.n.04,b
676,676,Synset('mail.n.01'),mail.n.01,b
714,714,Synset('psychic_phenomena.n.01'),psychic_phenomena.n.01,b
715,715,Synset('telegnosis.n.01'),telegnosis.n.01,b
716,716,Synset('telepathy.n.01'),telepathy.n.01,b
718,718,Synset('signpost.n.01'),signpost.n.01,b
725,725,Synset('distress_signal.n.01'),distress_signal.n.01,b
746,746,Synset('artwork.n.01'),artwork.n.01,b
752,752,Synset('graph.n.01'),graph.n.01,b
758,758,Synset('sprechgesang.n.01'),sprechgesang.n.01,b
772,772,Synset('estivation.n.02'),estivation.n.02,b
777,777,Synset('scaffold.n.02'),scaffold.n.02,b
783,783,Synset('clade.n.01'),clade.n.01,b
793,793,Synset('dorian.n.02'),dorian.n.02,b
795,795,Synset('governed.n.01'),governed.n.01,b
796,796,Synset('ionian.n.02'),ionian.n.02,b
807,807,Synset('battery.n.03'),battery.n.03,b
808,808,Synset('biota.n.01'),biota.n.01,b
811,811,Synset('book.n.07'),book.n.07,b
829,829,Synset('fauna.n.01'),fauna.n.01,b
832,832,Synset('fleet.n.01'),fleet.n.01,b
833,833,Synset('fleet.n.02'),fleet.n.02,b
834,834,Synset('fleet.n.04'),fleet.n.04,b
838,838,Synset('galaxy.n.03'),galaxy.n.03,b
839,839,Synset('generally_accepted_accounting_principles.n.01'),generally_accepted_accounting_principles.n.01,b
841,841,Synset('hand.n.06'),hand.n.06,b
849,849,Synset('library.n.04'),library.n.04,b
854,854,Synset('mythology.n.01'),mythology.n.01,b
871,871,Synset('set.n.01'),set.n.01,b
885,885,Synset('troponymy.n.02'),troponymy.n.02,b
886,886,Synset('vegetation.n.01'),vegetation.n.01,b
889,889,Synset('wardrobe.n.03'),wardrobe.n.03,b
890,890,Synset('biome.n.01'),biome.n.01,b
893,893,Synset('bengali.n.02'),bengali.n.02,b
895,895,Synset('flemish.n.01'),flemish.n.01,b
896,896,Synset('hebrews.n.01'),hebrews.n.01,b
897,897,Synset('igbo.n.01'),igbo.n.01,b
898,898,Synset('kurd.n.01'),kurd.n.01,b
901,901,Synset('tajik.n.03'),tajik.n.03,b
903,903,Synset('astatine.n.01'),astatine.n.01,b
904,904,Synset('bromine.n.01'),bromine.n.01,b
905,905,Synset('chlorine.n.01'),chlorine.n.01,b
906,906,Synset('fluorine.n.01'),fluorine.n.01,b
907,907,Synset('iodine.n.01'),iodine.n.01,b
909,909,Synset('audience.n.02'),audience.n.02,b
911,911,Synset('laity.n.01'),laity.n.01,b
920,920,Synset('class.n.03'),class.n.03,b
931,931,Synset('folk.n.01'),folk.n.01,b
941,941,Synset('network_army.n.01'),network_army.n.01,b
962,962,Synset('color.n.04'),color.n.04,b
989,989,Synset('sector.n.02'),sector.n.02,b
991,991,Synset('society.n.01'),society.n.01,b
1001,1001,Synset('judiciary.n.02'),judiciary.n.02,b
1014,1014,Synset('brahman.n.03'),brahman.n.03,b
1016,1016,Synset('sudra.n.02'),sudra.n.02,b
1017,1017,Synset('vaisya.n.02'),vaisya.n.02,b
1023,1023,Synset('ream.n.02'),ream.n.02,b
1024,1024,Synset('solubility.n.01'),solubility.n.01,b
1025,1025,Synset('toxicity.n.01'),toxicity.n.01,b
1032,1032,Synset('bag.n.02'),bag.n.02,b
1034,1034,Synset('capacity.n.06'),capacity.n.06,b
1037,1037,Synset('correction.n.02'),correction.n.02,b
1038,1038,Synset('dose.n.02'),dose.n.02,b
1040,1040,Synset('headspace.n.01'),headspace.n.01,b
1042,1042,Synset('limit.n.05'),limit.n.05,b
1043,1043,Synset('limit.n.06'),limit.n.06,b
1044,1044,Synset('load.n.02'),load.n.02,b
1046,1046,Synset('outage.n.01'),outage.n.01,b
1047,1047,Synset('output.n.04'),output.n.04,b
1048,1048,Synset('precipitation.n.01'),precipitation.n.01,b
1049,1049,Synset('region.n.04'),region.n.04,b
1050,1050,Synset('reserve.n.04'),reserve.n.04,b
1051,1051,Synset('run.n.10'),run.n.10,b
1052,1052,Synset('skinful.n.01'),skinful.n.01,b
1056,1056,Synset('supply.n.01'),supply.n.01,b
1057,1057,Synset('tankage.n.01'),tankage.n.01,b
1058,1058,Synset('top-up.n.01'),top-up.n.01,b
1059,1059,Synset('ullage.n.01'),ullage.n.01,b
1060,1060,Synset('worth.n.01'),worth.n.01,b
1061,1061,Synset('magnetic_flux.n.01'),magnetic_flux.n.01,b
1062,1062,Synset('hole.n.03'),hole.n.03,b
1064,1064,Synset('arrival_time.n.01'),arrival_time.n.01,b
1065,1065,Synset('beginning.n.02'),beginning.n.02,b
1067,1067,Synset('deadline.n.01'),deadline.n.01,b
1068,1068,Synset('departure_time.n.01'),departure_time.n.01,b
1070,1070,Synset('end.n.02'),end.n.02,b
1071,1071,Synset('middle.n.04'),middle.n.04,b
1073,1073,Synset('midterm.n.02'),midterm.n.02,b
1075,1075,Synset('phase.n.03'),phase.n.03,b
1076,1076,Synset('run-time.n.01'),run-time.n.01,b
1077,1077,Synset('show_time.n.01'),show_time.n.01,b
1078,1078,Synset('term.n.06'),term.n.06,b
1080,1080,Synset('conditional_probability.n.01'),conditional_probability.n.01,b
1081,1081,Synset('cross_section.n.03'),cross_section.n.03,b
1082,1082,Synset('exceedance.n.01'),exceedance.n.01,b
1086,1086,Synset('risk.n.03'),risk.n.03,b
1087,1087,Synset('risk.n.04'),risk.n.04,b
1088,1088,Synset('quasiparticle.n.01'),quasiparticle.n.01,b
1089,1089,Synset('enough.n.01'),enough.n.01,b
1091,1091,Synset('normality.n.02'),normality.n.02,b
1093,1093,Synset('plurality.n.03'),plurality.n.03,b
1105,1105,Synset('absence.n.03'),absence.n.03,b
1106,1106,Synset('access_time.n.01'),access_time.n.01,b
1107,1107,Synset('cycle.n.01'),cycle.n.01,b
1111,1111,Synset('float.n.01'),float.n.01,b
1112,1112,Synset('interim.n.01'),interim.n.01,b
1114,1114,Synset('latent_period.n.02'),latent_period.n.02,b
1115,1115,Synset('lead_time.n.01'),lead_time.n.01,b
1116,1116,Synset('lunitidal_interval.n.01'),lunitidal_interval.n.01,b
1117,1117,Synset('pause.n.01'),pause.n.01,b
1118,1118,Synset('period.n.02'),period.n.02,b
1120,1120,Synset('reaction_time.n.01'),reaction_time.n.01,b
1121,1121,Synset('rotational_latency.n.01'),rotational_latency.n.01,b
1122,1122,Synset('seek_time.n.01'),seek_time.n.01,b
1123,1123,Synset('time_constant.n.01'),time_constant.n.01,b
1125,1125,Synset('attosecond.n.01'),attosecond.n.01,b
1126,1126,Synset('bell.n.04'),bell.n.04,b
1127,1127,Synset('day.n.01'),day.n.01,b
1128,1128,Synset('femtosecond.n.01'),femtosecond.n.01,b
1130,1130,Synset('hour.n.01'),hour.n.01,b
1131,1131,Synset('mean_time.n.01'),mean_time.n.01,b
1132,1132,Synset('microsecond.n.01'),microsecond.n.01,b
1134,1134,Synset('minute.n.01'),minute.n.01,b
1135,1135,Synset('month.n.02'),month.n.02,b
1136,1136,Synset('nanosecond.n.01'),nanosecond.n.01,b
