Synonyms,Glossary,Synset in hierarchy,,,,,,,,,Synset,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes
toga_virilis,(ancient Rome) a toga worn by a youth as a symbol of manhood and citizenship,,,,,"[Synset('toga_virilis.n.01')]],",,,,,Synset('toga_virilis.n.01'),l,,y,,
abaya,(Arabic) a loose black robe from head to toe; traditionally worn by Muslim women,,,"[Synset('abaya.n.01')],",,,,,,,Synset('abaya.n.01'),l,,n,,
prayer_shawl tallith tallis,(Judaism) a shawl with a ritually knotted fringe at each corner; worn by Jews at morning prayer,,,,,"[Synset('prayer_shawl.n.01')],",,,,,Synset('prayer_shawl.n.01'),l,,y,,
kanzu,(Swahili) a long garment (usually white) with long sleeves; worn by men in East Africa,,"[Synset('kanzu.n.01')],",,,,,,,,Synset('kanzu.n.01'),b,,n,x,unfamiliar but sounds like basic level from description 
trouser pant,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately",,"[Synset('trouser.n.01'),",,,,,,,,Synset('trouser.n.01'),b,,y,,basic level in hierachy
chap,(usually in the plural) leather leggings without a seat; joined by a belt; often have flared outer flaps; worn over trousers by cowboys to protect their legs,,,"[Synset('chap.n.04')],",,,,,,,Synset('chap.n.04'),l,,y,,specific type of trousers
slacks,(usually in the plural) pants for casual wear,,,"[Synset('slacks.n.01')],",,,,,,,Synset('slacks.n.01'),l,,y,,might be basic in the USA
flannel gabardine tweed white,(usually in the plural) trousers made of flannel or gabardine or tweed or white cloth,,,"[Synset('flannel.n.03')],",,,,,,,Synset('flannel.n.03'),l,,y,,
jean blue_jean denim,(usually plural) close-fitting trousers of heavy denim for manual work or casual wear,,,"[Synset('jean.n.01'),",,,,,,,Synset('jean.n.01'),b,,y,x,type of trousers but jeans are basic level 
caftan kaftan,a (cotton or silk) cloak with full sleeves and sash reaching down to the ankles; worn by men in the Levant,,,,"[Synset('caftan.n.02')],",,,,,,Synset('caftan.n.02'),l,,y,,
black_tie,a black bow tie worn with a dinner jacket,,,,,"[Synset('black_tie.n.02')],",,,,,Synset('black_tie.n.02'),l,,y,,
weeds widow's_weeds,a black garment (dress) worn by a widow as a sign of mourning,,"[Synset('weeds.n.01')],",,,,,,,,Synset('weeds.n.01'),l,x,n,x,unsure on term
poncho,a blanket-like cloak with a hole in the center for the head,,,,"[Synset('poncho.n.01')],",,,,,,Synset('poncho.n.01'),l,,y,,possible BL - distinctive
uplift,a brassiere that lifts and supports the breasts,,,,"[Synset('uplift.n.02')]],",,,,,,Synset('uplift.n.02'),l,,y,,
three-piece_suit,a business suit consisting of a jacket and vest and trousers,,,,"[Synset('three-piece_suit.n.01')],",,,,,,Synset('three-piece_suit.n.01'),l,,y,,
two-piece two-piece_suit lounge_suit,a business suit consisting of a matching jacket and skirt or trousers,,,,"[Synset('two-piece.n.01')]],",,,,,,Synset('two-piece.n.01'),l,,y,,
sunsuit,a child's garment consisting of a brief top and shorts,,"[Synset('sunsuit.n.01')],",,,,,,,,Synset('sunsuit.n.01'),l,,y,,
snowsuit,a child's overgarment for cold weather,,,"[Synset('snowsuit.n.01')]],",,,,,,,Synset('snowsuit.n.01'),l,,y,,
wet_suit,a close-fitting garment made of a permeable material; worn in cold water (as by skin divers) to retain body heat,,"[Synset('wet_suit.n.01')],",,,,,,,,Synset('wet_suit.n.01'),b,,y,x,"may also be subordinate to swimsuit or suit, but it is a distinctive term within itself as immediately picture a wetsuit which has different shape and purpose - so labelled basic "
jersey T-shirt tee_shirt,a close-fitting pullover shirt,,,"[Synset('jersey.n.03'),",,,,,,,Synset('jersey.n.03'),l,x,y,,can refer to type of material or fit - perhaps no basic level 
spat gaiter,a cloth covering (a legging) that covers the instep and ankles,,,"[Synset('spat.n.02')]],",,,,,,,Synset('spat.n.02'),l,,n,,specific type of legging
chador chadar chaddar chuddar,a cloth used as a head covering (and veil and shawl) by Muslim and Hindu women,,,"[Synset('chador.n.01')],",,,,,,,Synset('chador.n.01'),l,,y,,specific type of head covering (its superordinate)
fur_coat,a coat made of fur,,,,"[Synset('fur_coat.n.01'),",,,,,,Synset('fur_coat.n.01'),l,,y,,
sheepskin_coat afghan,a coat made of sheepskin,,,,"[Synset('sheepskin_coat.n.01')],",,,,,,Synset('sheepskin_coat.n.01'),l,,y,,
singlet vest undershirt,a collarless men's undergarment for the upper part of the body,,,"[Synset('singlet.n.01')],",,,,,,,Synset('singlet.n.01'),l,,y,,
bolo_tie bolo bola_tie bola,a cord fastened around the neck with an ornamental clasp and worn as a necktie,,,,"[Synset('bolo_tie.n.01')],",,,,,,Synset('bolo_tie.n.01'),l,,y,,
ascot,a cravat with wide square ends; secured with an ornamental pin,,,,"[Synset('ascot.n.01')],",,,,,,Synset('ascot.n.01'),l,,y,,
sweater jumper,a crocheted or knitted garment covering the upper part of the body,,"[Synset('sweater.n.01'),",,,,,,,,Synset('sweater.n.01'),b,,y,,
culotte,a divided skirt,,,"[Synset('culotte.n.01')],",,,,,,,Synset('culotte.n.01'),l,,y,,
niqab,a face veil covering the lower part of the face (up to the eyes) worn by observant Muslim women,,,,"[Synset('niqab.n.01')]],",,,,,,Synset('niqab.n.01'),l,,y,,
chesterfield,a fitted overcoat with a velvet collar,,,,,"[Synset('chesterfield.n.03')],",,,,,Synset('chesterfield.n.03'),l,,y,,
zoot_suit,a flashy suit of extreme cut,,,"[Synset('zoot_suit.n.01')]],",,,,,,,Synset('zoot_suit.n.01'),l,,y,,
dirndl,a full skirt with a gathered waistband,,,,"[Synset('dirndl.n.01')]],",,,,,,Synset('dirndl.n.01'),l,,y,,
crinoline,a full stiff petticoat made of crinoline fabric,,,,"[Synset('crinoline.n.02')]],",,,,,,Synset('crinoline.n.02'),l,,y,,
sable_coat,a fur coat made of sable furs,,,,,"[Synset('sable_coat.n.01')]],",,,,,Synset('sable_coat.n.01'),l,,y,,
swaddling_clothes swaddling_bands,a garment (a gown or narrow strips of cloth) for an infant,,"[Synset('swaddling_clothes.n.01')],",,,,,,,,Synset('swaddling_clothes.n.01'),l,,y,,
wraparound,a garment (as a dress or coat) with a full length opening; adjusts to the body by wrapping around,,[Synset('wraparound.n.01')]],,,,,,,,Synset('wraparound.n.01'),h,x,y,x,may not have basic level - can be any garment
sealskin,a garment (as a jacket or coat or robe) made of sealskin,,"[Synset('sealskin.n.02')],",,,,,,,,Synset('sealskin.n.02'),l,,y,,
raglan,a garment (coat or sweater) that has raglan sleeves,,"[Synset('raglan.n.01')],",,,,,,,,Synset('raglan.n.01'),l,x,n,x,specific type of sleeves so perhaps subordinate or has no basic level?
reversible,a garment (especially a coat) that can be worn inside out (with either side of the cloth showing),,"[Synset('reversible.n.01')],",,,,,,,,Synset('reversible.n.01'),b,x,y,x,perhaps no basic level as can be any garment that is reversible 
trouser,a garment (or part of a garment) designed for or relating to trousers,,"[Synset('trouser.n.02')],",,,,,,,,Synset('trouser.n.02'),l,,y,x,also basic level but lower in branch 
legging leging leg_covering,a garment covering the leg (usually extending from the knee to the ankle),,"[Synset('legging.n.01'),",,,,,,,,Synset('legging.n.01'),b,,y,,
skirt,a garment hanging from the waist; worn mainly by girls and women,,"[Synset('skirt.n.02'),",,,,,,,,Synset('skirt.n.02'),b,,y,,
camlet,a garment made of camlet fabric,,"[Synset('camlet.n.01')],",,,,,,,,Synset('camlet.n.01'),l,x,,,specific type of fabric so subordinate?
sackcloth,a garment made of coarse sacking; formerly worn as an indication of remorse,,"[Synset('sackcloth.n.01')],",,,,,,,,Synset('sackcloth.n.01'),b,,n,x,"unsure on item, but description sounds like basic level"
motley,a garment made of motley (especially a court jester's costume),,"[Synset('motley.n.02')],",,,,,,,,Synset('motley.n.02'),l,x,n,x,perhaps no basic level if it is specific material 
fur,a garment made of the dressed hairy coat of a mammal,,"[Synset('fur.n.03')],",,,,,,,,Synset('fur.n.03'),h,x,y,,can refer to any garment with fur - perhaps no basic level
kirtle,a garment resembling a tunic that was worn by men in the Middle Ages,,,,,"[Synset('kirtle.n.01')],",,,,,Synset('kirtle.n.01'),l,,y,,
straitjacket straightjacket,a garment similar to a jacket that is used to bind the arms tightly against the body as a means of restraining a violent person,,"[Synset('straitjacket.n.02')],",,,,,,,,Synset('straitjacket.n.02'),l,,y,,
separate,a garment that can be purchased separately and worn in combinations with other garments,,"[Synset('separate.n.02')],",,,,,,,,Synset('separate.n.02'),h,x,y,x,perhaps no basic level as can be anything?
head_covering veil,a garment that covers the head and face,,"[Synset('head_covering.n.01'),",,,,,,,,Synset('head_covering.n.01'),h,,y,,superordinate/general category
breechcloth breechclout loincloth,a garment that provides covering for the loins,,"[Synset('breechcloth.n.01'),",,,,,,,,Synset('breechcloth.n.01'),l,,n,,google search shows from native americans - perhaps basic level?
scarf,a garment worn around the head or neck or shoulders for warmth or decoration,,"[Synset('scarf.n.01'),",,,,,,,,Synset('scarf.n.01'),b,,y,,
peplos peplus peplum,a garment worn by women in ancient Greece; cloth caught at the shoulders and draped in folds to the waist,,"[Synset('peplos.n.01')],",,,,,,,,Synset('peplos.n.01'),b,,n,x,sounds like basic level for 'toga' garments
shirt,a garment worn on the upper half of the body,,"[Synset('shirt.n.01'),",,,,,,,,Synset('shirt.n.01'),b,,y,,
overgarment outer_garment,a garment worn over other garments,,"[Synset('overgarment.n.01'),",,,,,,,,Synset('overgarment.n.01'),h,,y,,
undergarment unmentionable,a garment worn under other garments,,"[Synset('undergarment.n.01'),",,,,,,,,Synset('undergarment.n.01'),b,,y,,
hijab,a headscarf worn by Muslim women; conceals the hair and neck and usually has a face veil that covers the face,,,,,"[Synset('hijab.n.01')],",,,,,Synset('hijab.n.01'),l,,y,,
khimar,a headscarf worn by observant Muslim women that hangs down to just above the waist,,,,,"[Synset('khimar.n.01')]],",,,,,Synset('khimar.n.01'),l,,y,,
greatcoat overcoat topcoat,a heavy coat worn over clothes in winter,,,,"[Synset('greatcoat.n.01'),",,,,,,Synset('greatcoat.n.01'),l,,y,,
capuchin,a hooded cloak for women,,,,"[Synset('capuchin.n.01')],",,,,,,Synset('capuchin.n.01'),l,,y,,
dolman dolman_jacket,a hussar's jacket worn over the shoulders,,,,,"[Synset('dolman.n.01')],",,,,,Synset('dolman.n.01'),l,,y,,
bomber_jacket,a jacket gathered into a band at the waist,,,,,"[Synset('bomber_jacket.n.01')],",,,,,Synset('bomber_jacket.n.01'),l,,y,,
Eton_jacket,a jacket hanging to the waist and cut square at the bottom,,,,,"[Synset('eton_jacket.n.01')],",,,,,Synset('eton_jacket.n.01'),l,,y,,
