synset	domain
Synset('authority.n.07')	Synset('work.n.02')
Synset('authority.n.06')	Synset('approval.n.04')
Synset('authority.n.01')	Synset('quality.n.01')-misc
Synset('gilt.n.01')	Synset('coating.n.01')
Synset('authority.n.03')	Synset('expert.n.01')
Synset('authority.n.02')	Synset('person.n.01')-misc
Synset('tennessee_walker.n.01')	Synset('odd-toed_ungulate.n.01')
Synset('post_horn.n.01')	Synset('musical_instrument.n.01')
Synset('acetate_rayon.n.01')	Synset('fabric.n.01')-misc
Synset('hellhound.n.01')	Synset('unwelcome_person.n.01')
Synset('shahadah.n.01')	Synset('idea.n.01')-misc
Synset('stuff.n.02')	Synset('object.n.01')-misc
Synset('pay_cut.n.01')	Synset('change_of_magnitude.n.01')
Synset('eugenia.n.01')	Synset('dicot_genus.n.01')-misc
Synset('kentucky_yellowwood.n.01')	Synset('tree.n.01')-misc
Synset('continuity.n.03')	Synset('temporal_property.n.01')
Synset('temporariness.n.01')	Synset('temporal_property.n.01')
Synset('continuity.n.01')	Synset('state.n.02')-misc
Synset('hexadecimal_notation.n.01')	Synset('notation.n.01')
Synset('peregrine.n.01')	Synset('bird_of_prey.n.01')
Synset('seychellois.n.01')	Synset('person.n.01')-misc
Synset('hamitic.n.01')	Synset('afroasiatic.n.01')
Synset('pecan.n.01')	Synset('wood.n.01')
Synset('dug.n.01')	Synset('gland.n.01')
Synset('serif.n.01')	Synset('mark.n.04')
Synset('alpine_ash.n.01')	Synset('tree.n.01')-misc
Synset('cricket-bat_willow.n.01')	Synset('tree.n.01')-misc
Synset('bush_shrike.n.01')	Synset('oscine.n.01')-misc
Synset('dip_switch.n.01')	Synset('control.n.09')
Synset('synoptic_gospels.n.01')	Synset('writing.n.02')-misc
Synset('beacon.n.01')	Synset('signal.n.01')-misc
Synset('reuptake.n.01')	Synset('human_process.n.01')
Synset('office_of_inspector_general.n.01')	Synset('agency.n.01')
Synset('fagot_stitch.n.01')	Synset('needlework.n.01')
Synset('scalenus.n.01')	Synset('contractile_organ.n.01')
Synset('flash_welding.n.01')	Synset('change_of_integrity.n.01')
Synset('sausage_dog.n.01')	Synset('dog.n.01')
Synset('large_intestine.n.01')	Synset('organ.n.01')-misc
Synset('fret.n.04')	Synset('bar.n.03')
Synset('inferior_colliculus.n.01')	Synset('neural_structure.n.01')
Synset('lesser_kudu.n.01')	Synset('even-toed_ungulate.n.01')
Synset('cerebrospinal_meningitis.n.01')	Synset('communicable_disease.n.01')
Synset('wild_pansy.n.01')	Synset('herb.n.01')-misc
Synset('slow_motion.n.01')	Synset('product.n.02')-misc
Synset('washboard.n.02')	Synset('protective_covering.n.01')
Synset('invite.n.01')	Synset('request.n.02')
Synset('purple_chinese_houses.n.01')	Synset('wilding.n.01')
Synset('fret.n.03')	Synset('decoration.n.01')-misc
Synset('light_middleweight.n.01')	Synset('combatant.n.01')
Synset('gun_carriage.n.01')	Synset('supporting_structure.n.01')
Synset('billion.n.03')	Synset('integer.n.01')
Synset('billion.n.01')	Synset('integer.n.01')
Synset('southern_flounder.n.01')	Synset('spiny-finned_fish.n.01')-misc
Synset('pholiota_aurea.n.01')	Synset('basidiomycete.n.01')
Synset('aristolochiaceae.n.01')	Synset('dicot_family.n.01')
Synset('gun_pendulum.n.01')	Synset('apparatus.n.01')
Synset('oak_blight.n.01')	Synset('homopterous_insect.n.01')
Synset('camphor_daisy.n.01')	Synset('wilding.n.01')
Synset('plug.n.01')	Synset('obstruction.n.01')
Synset('general_delivery.n.01')	Synset('unit.n.03')-misc
Synset('podocarp.n.01')	Synset('gymnospermous_tree.n.01')
Synset('woodenness.n.01')	Synset('quality.n.01')-misc
Synset('vegetarianism.n.01')	Synset('food.n.01')-misc
Synset('talipes_calcaneus.n.01')	Synset('ill_health.n.01')-misc
Synset('mountain_rice.n.01')	Synset('gramineous_plant.n.01')
Synset('restatement.n.01')	Synset('statement.n.01')-misc
Synset('stall.n.05')	Synset('position.n.07')
Synset('counterintelligence.n.01')	Synset('operation.n.05')
Synset('learned_profession.n.01')	Synset('profession.n.02')
Synset('guatemalan.n.01')	Synset('american.n.03')
Synset('sounding_board.n.02')	Synset('enclosure.n.01')
Synset('transient_ischemic_attack.n.01')	Synset('dyscrasia.n.01')
Synset('buddhism.n.02')	Synset('morality.n.01')
Synset('putterer.n.01')	Synset('person.n.01')-misc
Synset('constituent.n.04')	Synset('ordering.n.01')
Synset('polynya.n.01')	Synset('body_of_water.n.01')
Synset('market_gardening.n.01')	Synset('commerce.n.01')
Synset('prairie_aster.n.01')	Synset('flower.n.01')-misc
Synset('constituent.n.02')	Synset('person.n.01')-misc
Synset('bermuda_buttercup.n.01')	Synset('herb.n.01')-misc
Synset('counselorship.n.01')	Synset('position.n.06')
Synset('cowbell.n.01')	Synset('device.n.01')-misc
Synset('continuity.n.02')	Synset('writing.n.02')-misc
Synset('open_house.n.01')	Synset('gathering.n.01')-misc
Synset('body_hair.n.01')	Synset('covering.n.01')
Synset('impersonation.n.03')	Synset('performing_arts.n.01')
Synset('truncated_pyramid.n.01')	Synset('solid.n.03')
Synset('sidestroke.n.01')	Synset('locomotion.n.02')
Synset('city_editor.n.01')	Synset('skilled_worker.n.01')-misc
Synset('paye.n.01')	Synset('liabilities.n.01')
Synset('curandero.n.01')	Synset('expert.n.01')
Synset('baltic.n.02')	Synset('indo-european.n.02')
Synset('catering.n.01')	Synset('occupation.n.01')-misc
Synset('froghopper.n.01')	Synset('homopterous_insect.n.01')
Synset('horse_cavalry.n.02')	Synset('military_unit.n.01')
Synset('wild_apple.n.01')	Synset('fruit_tree.n.01')
Synset('shoe_leather.n.01')	Synset('animal_material.n.01')
Synset('dial.n.02')	Synset('control.n.09')
Synset('celestial_equator.n.01')	Synset('line.n.11')
Synset('alzheimer's_disease.n.01')	Synset('psychological_state.n.01')
Synset('perineurium.n.01')	Synset('connective_tissue.n.01')
Synset('immateriality.n.01')	Synset('relation.n.01')-misc
Synset('immateriality.n.02')	Synset('quality.n.01')-misc
Synset('defoliation.n.02')	Synset('change_of_state.n.01')-misc
Synset('indian.n.01')	Synset('amerindian.n.01')
Synset('imperialist.n.01')	Synset('advocate.n.01')
Synset('abience.n.01')	Synset('psychological_feature.n.01')-misc
Synset('duckling.n.02')	Synset('waterfowl.n.01')
Synset('guerrilla_theater.n.01')	Synset('representation.n.10')
Synset('life_jacket.n.01')	Synset('equipment.n.01')-misc
Synset('genus_cynancum.n.01')	Synset('dicot_genus.n.01')-misc
Synset('staple_gun.n.01')	Synset('machine.n.01')-misc
Synset('cancerweed.n.01')	Synset('herb.n.01')-misc
Synset('lima_bean.n.02')	Synset('climber.n.01')
Synset('releasing_hormone.n.02')	Synset('body_substance.n.01')
Synset('mold.n.03')	Synset('earth.n.02')
Synset('mold.n.02')	Synset('container.n.01')-misc
Synset('pinniped_mammal.n.01')	Synset('aquatic_mammal.n.01')
Synset('duckling.n.01')	Synset('meat.n.01')
Synset('mold.n.07')	Synset('quality.n.01')-misc
Synset('gingerbread.n.01')	Synset('cake.n.03')
Synset('mold.n.05')	Synset('fungus.n.01')-misc
Synset('yellow-dog_contract.n.01')	Synset('agreement.n.01')
Synset('mold.n.08')	Synset('figure.n.06')
Synset('niobium.n.01')	Synset('chemical_element.n.01')
Synset('monad.n.01')	Synset('substance.n.01')-misc
Synset('smallholding.n.01')	Synset('property.n.01')
Synset('fan_mail.n.01')	Synset('collection.n.01')-misc
Synset('bur_oak.n.01')	Synset('tree.n.01')-misc
Synset('black_and_white.n.02')	Synset('photograph.n.01')
Synset('dar_al-islam.n.01')	Synset('geographical_area.n.01')-misc
Synset('question_mark.n.01')	Synset('written_symbol.n.01')
Synset('traffic_cop.n.01')	Synset('preserver.n.03')
Synset('last.n.03')	Synset('activity.n.01')-misc
Synset('last.n.02')	Synset('rank.n.02')
Synset('tachycardia.n.01')	Synset('disorder.n.01')-misc
Synset('last.n.06')	Synset('volume_unit.n.01')
Synset('last.n.05')	Synset('unit_of_measurement.n.01')-misc
Synset('pilularia.n.01')	Synset('fern_genus.n.01')
Synset('anger.n.02')	Synset('physical_condition.n.01')-misc
Synset('anger.n.01')	Synset('emotion.n.01')
Synset('habsburg.n.01')	Synset('kin.n.02')
Synset('pinwheel_roll.n.01')	Synset('starches.n.01')
Synset('democratic_party.n.01')	Synset('organization.n.01')-misc
Synset('sex-change_operation.n.01')	Synset('medical_procedure.n.01')
Synset('coefficient_of_reflection.n.01')	Synset('number.n.02')-misc
Synset('sustaining_pedal.n.01')	Synset('bar.n.03')
Synset('genus_fothergilla.n.01')	Synset('genus.n.02')-misc
Synset('pleading.n.01')	Synset('statement.n.01')-misc
Synset('rochon_prism.n.01')	Synset('device.n.01')-misc
Synset('urinary_retention.n.01')	Synset('property.n.02')-misc
Synset('warm_front.n.01')	Synset('atmospheric_phenomenon.n.01')
Synset('arthropathy.n.01')	Synset('pathology.n.02')
Synset('middle_finger.n.01')	Synset('external_body_part.n.01')
Synset('spherometer.n.01')	Synset('measuring_instrument.n.01')-misc
Synset('tax_assessment.n.01')	Synset('worth.n.02')
Synset('ragsorter.n.01')	Synset('worker.n.01')-misc
Synset('optimum.n.01')	Synset('quality.n.01')-misc
Synset('wrestling_mat.n.01')	Synset('sports_equipment.n.01')
Synset('swedish_rye_bread.n.01')	Synset('starches.n.01')
Synset('revetment.n.02')	Synset('protective_covering.n.01')
Synset('catalexis.n.01')	Synset('writing_style.n.01')
Synset('oligomenorrhea.n.01')	Synset('bodily_process.n.01')-misc
Synset('agora.n.02')	Synset('establishment.n.04')
Synset('cell.n.02')	Synset('cell.n.02')
Synset('top_fermentation.n.01')	Synset('chemical_process.n.01')
Synset('laminar_flow_clean_room.n.01')	Synset('room.n.01')
Synset('lingual_vein.n.01')	Synset('vein.n.01')
Synset('flip.n.05')	Synset('sport.n.01')
Synset('candy_corn.n.01')	Synset('dainty.n.01')
Synset('recruit.n.01')	Synset('serviceman.n.01')
Synset('subtilin.n.01')	Synset('antibacterial.n.01')
Synset('curtailment.n.01')	Synset('temporal_property.n.01')
Synset('genetic_map.n.01')	Synset('structure.n.03')
Synset('diodon.n.01')	Synset('fish_genus.n.01')-misc
Synset('alcoholic_dementia.n.01')	Synset('psychological_state.n.01')
Synset('slurry.n.01')	Synset('mixture.n.01')
Synset('cannon_fodder.n.01')	Synset('serviceman.n.01')
Synset('economic_commission_for_latin_america.n.01')	Synset('administrative_unit.n.01')-misc
Synset('educational_institution.n.01')	Synset('educational_institution.n.01')
Synset('flatbed_press.n.01')	Synset('machine.n.01')-misc
Synset('sphaerocarpaceae.n.01')	Synset('family.n.06')-misc
Synset('eye_chart.n.01')	Synset('visual_communication.n.01')
Synset('notch.n.03')	Synset('solid.n.03')
Synset('notch.n.01')	Synset('solid.n.03')
