Synonyms,Glossary,Synset in hierarchy,,,,,,,,,Label,PossibleNone,Familiar,UnfamiliarANDunsure,Notes,Synset
penalty_box,(ice hockey) an enclosed bench to the side of an ice-hockey rink for players who are serving time penalties,,,,"[Synset('penalty_box.n.01')],",,,,,,l,x,y,,,Synset('penalty_box.n.01')
bench,(law) the seat for judges in a courtroom,,,"[Synset('bench.n.07')],",,,,,,,l,,y,,,Synset('bench.n.07')
Rolodex,"(trademark) a desktop rotary card index with removable cards; usually used for names, addresses, and telephone numbers",,,,,"[Synset('rolodex.n.01')]],",,,,,l,x,y,,type of office furniture,Synset('rolodex.n.01')
cradle,a baby bed with sides and rockers,,,"[Synset('cradle.n.01')],",,,,,,,l,,y,,,Synset('cradle.n.01')
oyster_bar,a bar (as in a restaurant) that specializes in oysters prepared in different ways,,,,,"[Synset('oyster_bar.n.01')],",,,,,l,,y,,specific contextual term ,Synset('oyster_bar.n.01')
wet_bar,a bar for mixing drinks that has a sink with running water,,,,,"[Synset('wet_bar.n.01')],",,,,,l,,y,,specific contextual term ,Synset('wet_bar.n.01')
wine_bar,a bar that serves only wine,,,,,"[Synset('wine_bar.n.01')]],",,,,,l,,y,,specific contextual term ,Synset('wine_bar.n.01')
salad_bar,a bar where diners can assemble a salad to their own taste,,,,,"[Synset('salad_bar.n.01')],",,,,,l,,y,,specific contextual term ,Synset('salad_bar.n.01')
sushi_bar,a bar where sushi is served,,,,,"[Synset('sushi_bar.n.01')],",,,,,l,,y,,specific contextual term ,Synset('sushi_bar.n.01')
bassinet,a basket (usually hooded) used as a baby's bed,,,"[Synset('bassinet.n.01')],",,,,,,,l,,y,x,could be basic level ,Synset('bassinet.n.01')
single_bed,a bed for one occupant,,,,"[Synset('single_bed.n.01'),",,,,,,l,,y,,,Synset('single_bed.n.01')
plank-bed,a bed of boards (without a mattress),,,,"[Synset('plank-bed.n.01')],",,,,,,l,,y,,,Synset('plank-bed.n.01')
berth bunk built_in_bed,a bed on a ship or train; usually in tiers,,,,"[Synset('berth.n.03'),",,,,,,l,,y,,,Synset('berth.n.03')
Murphy_bed,a bed that can be folded or swung into a cabinet when not being used,,,,"[Synset('murphy_bed.n.01')],",,,,,,l,,y,,,Synset('murphy_bed.n.01')
built-in_bed,a bed that is built in and fixed to a wall,,,,"[Synset('built-in_bed.n.01')],",,,,,,l,,y,,,Synset('built-in_bed.n.01')
double_bed,a bed wide enough to accommodate two sleepers,,,,"[Synset('double_bed.n.01')],",,,,,,l,,y,,,Synset('double_bed.n.01')
water_bed,a bed with a mattress made of strong plastic that is filled with water,,,,"[Synset('water_bed.n.01')]]],",,,,,,l,,y,,,Synset('water_bed.n.01')
four-poster,a bed with posts at the four corners that can be used to support a canopy or curtains,,,,"[Synset('four-poster.n.01')],",,,,,,l,,y,,,Synset('four-poster.n.01')
sleigh_bed,a bed with solid headboard and footboard that roll outward at the top,,,,"[Synset('sleigh_bed.n.01')],",,,,,,l,,y,,,Synset('sleigh_bed.n.01')
platform_bed,a bed without springs,,,,"[Synset('platform_bed.n.01')],",,,,,,l,,y,,,Synset('platform_bed.n.01')
park_bench,a bench in a public park,,,,"[Synset('park_bench.n.01')],",,,,,,l,,y,,,Synset('park_bench.n.01')
flat_bench,a bench on which a weightlifter lies to do exercises,,,,"[Synset('flat_bench.n.01')],",,,,,,l,,y,,,Synset('flat_bench.n.01')
window_seat,a bench or similar seat built into a window recess,,,,"[Synset('window_seat.n.01')]],",,,,,,l,,y,,,Synset('window_seat.n.01')
china_cabinet china_closet,a cabinet (usually with glass doors) for storing and displaying china,,,"[Synset('china_cabinet.n.01')],",,,,,,,l,,y,,,Synset('china_cabinet.n.01')
dresser,a cabinet with shelves,,,"[Synset('dresser.n.05')],",,,,,,,l,,y,,type of cabinet - cabinet is basic level,Synset('dresser.n.05')
chair_of_state,a ceremonial chair for an exalted or powerful person,,,,"[Synset('chair_of_state.n.01'),",,,,,,l,x,y,,,Synset('chair_of_state.n.01')
Eames_chair,a chair designed by Charles Eames; originally made of molded plywood; seat and back shaped to fit the human body,,,,"[Synset('eames_chair.n.01')],",,,,,,l,,y,,,Synset('eames_chair.n.01')
highchair feeding_chair,a chair for feeding a very young child; has four long legs and a footrest and a detachable tray,,,,"[Synset('highchair.n.01')],",,,,,,l,,y,,,Synset('highchair.n.01')
